hour,day,drivers,requests,traffic,weather,action_multiplier,reward_gmv,reward_cancel_rate
0,0,71,92,0.9319067961591203,0.7476291638653646,2.0,44535.87448520165,0.19319067961591205
1,0,60,70,0.6816336032579241,0.7441303815244189,2.0,34937.13886631672,0.16816336032579243
2,0,63,84,0.8580042980238275,0.3826434468239467,1.3,28507.737919673942,0.12980042980238277
3,0,53,57,0.4753694130356461,0.7611171769797193,1.0,15945.118303709045,0.06753694130356462
4,0,41,44,0.573967979048433,0.5296186575988651,1.6,18471.619628249708,0.12539679790484332
5,0,53,60,0.4337521251232532,0.7301489955495302,1.0,16859.24617477814,0.06337521251232532
6,0,61,54,0.3051418081611453,0.6886284022783636,1.0,15381.670270778945,0.05051418081611453
7,0,39,45,0.23373922504243866,0.6755972167016615,1.6,19626.323273908332,0.09137392250424387
8,0,59,59,0.3344189385017364,0.35406831243047043,1.6,25447.165566163083,0.10144189385017365
9,0,51,64,0.5079437413518602,0.7046406864990633,1.3,22593.93242158576,0.09479437413518602
10,0,49,59,0.48499346915207237,0.9160623556878202,1.3,20881.590027481085,0.09249934691520725
11,0,61,82,0.6577106699639022,0.7999091341102293,0.8,18306.90540151104,0.06977106699639023
12,0,71,79,0.7649888530405697,0.46921846066950457,0.8,17433.741134635082,0.08049888530405698
13,0,89,78,0.6819030908439468,0.680565475066171,2.0,38928.693534850325,0.1681903090843947
14,0,63,55,0.8024886674520549,0.9729215797793257,1.0,14845.89369870411,0.1002488667452055
15,0,67,71,0.6295233386673909,0.8959478269915172,1.3,24728.489875229996,0.10695233386673908
16,0,55,48,0.4566161872736958,0.6835075883757907,1.0,13454.472690325878,0.06566161872736959
17,0,39,54,0.43472424181077773,0.8899119717587587,1.6,23030.634765226463,0.11147242418107778
18,0,42,59,0.5265490742552403,0.8061724962328026,1.6,24903.05302170916,0.12065490742552404
19,0,53,55,0.29064858466976834,0.9689959996083545,1.0,15690.429835294883,0.049064858466976835
20,0,50,65,0.3688147236502633,0.5394341146202617,1.6,27927.698062211177,0.10488147236502635
21,0,78,73,0.3258419836413732,0.7481170772790964,1.3,26289.647872573012,0.07658419836413732
22,0,63,85,0.4528007777163671,0.8972662908541392,0.8,19394.686413458614,0.04928007777163672
23,0,80,88,0.7404233675085632,0.7339407878276081,1.3,30268.787002710615,0.11804233675085632
0,1,57,64,0.6769586852300048,0.8836802231519318,1.3,22172.071121665907,0.11169586852300048
1,1,44,63,0.9157421820484356,0.7676751129193249,1.3,21238.94145870699,0.13557421820484358
2,1,85,72,0.599136024938965,0.5831276038817306,1.6,30139.30589781094,0.1279136024938965
3,1,75,64,0.40063526363784685,0.6268153542363022,1.0,18046.780293815336,0.06006352636378469
4,1,39,42,0.48059401510540867,0.5158665628884324,1.6,17820.2424655475,0.11605940151054087
5,1,34,40,0.27974455728876646,0.4776011943976869,0.8,9293.045225002785,0.03197445572887665
6,1,26,30,0.45077484423223796,0.7130014776251062,0.8,6846.642112152789,0.0490774844232238
7,1,53,58,0.445850679108619,0.849854122306897,2.0,29768.439636702005,0.1445850679108619
8,1,82,72,0.3097746624443519,0.49729130905866265,1.3,25974.63274785626,0.0749774662444352
9,1,53,65,0.24956907126863845,0.4432756243210747,1.6,28299.74449764185,0.09295690712686386
10,1,72,88,0.3914139245455026,0.7184969896120764,1.3,31466.587410959837,0.08314139245455027
11,1,82,76,0.44873702832829665,0.7402245373986021,2.0,38993.75915082296,0.1448737028328297
12,1,88,81,0.7827384598196394,0.8916679433816752,0.8,17840.596434110623,0.08227384598196395
13,1,85,80,0.7246504635328817,0.8550558041953255,1.3,27566.29055377741,0.11646504635328817
14,1,65,67,0.7441101287957964,0.5021755201801945,1.0,18202.33864112045,0.09441101287957965
15,1,45,61,0.6833413544645751,0.8116460741830608,0.8,13581.028257063865,0.07233413544645752
16,1,66,59,0.5790607088333103,0.8870537564216179,0.8,13283.410036292036,0.061906070883331034
17,1,64,57,0.40521496542538055,0.9206184693393543,0.8,13070.945927298082,0.044521496542538064
18,1,62,62,0.2513385653125826,0.5763295302905767,2.0,32545.020537037188,0.12513385653125828
19,1,43,46,0.3918278073014188,0.9529618761269019,2.0,23758.555251848084,0.1391827807301419
20,1,52,68,0.38397401692030464,0.7840109713592892,1.3,24334.820907127352,0.08239740169203047
21,1,77,77,0.5176088816611544,0.794917368387923,1.0,21442.323483362732,0.07176088816611544
22,1,86,74,0.4538736173873801,0.7196175532372706,1.6,31492.480911040027,0.11338736173873801
23,1,70,79,0.6944904408697976,0.6522582404137656,1.0,21580.057655138582,0.08944904408697976
0,2,85,79,0.8366904909347251,0.9140015799222542,2.0,38694.0870729694,0.18366904909347254
1,2,67,72,0.9009739207314336,0.5527068680782382,2.0,34987.79266244021,0.19009739207314336
2,2,64,78,0.6063404491666258,0.5174225419983963,1.6,32623.941358320153,0.12863404491666258
3,2,49,61,0.7146381207978165,0.6857930226374971,1.6,25196.499582303994,0.13946381207978165
4,2,68,60,0.6117002065563607,0.2694947757322397,1.3,20939.02151665812,0.10517002065563608
5,2,69,60,0.46126193463276416,0.884842515924636,0.8,13678.18281412882,0.050126193463276424
6,2,34,47,0.4007919411403431,0.5655172743796304,1.6,20121.733380787384,0.10807919411403433
7,2,52,53,0.2740763041861591,0.45261402200040546,1.6,23012.829882150414,0.09540763041861591
8,2,65,61,0.24103935083520117,0.8466187562401027,2.0,32057.795975943165,0.12410393508352012
9,2,78,67,0.3764179793399718,0.7221283633845266,1.0,18941.399861526657,0.05764179793399718
10,2,72,71,0.8304752289121436,0.5222275125606525,0.8,15556.710209933704,0.08704752289121437
11,2,74,81,0.95,0.7124417614222172,2.0,39123.0,0.195
12,2,90,93,0.8701108177967949,0.8773096992845278,1.0,24914.390818346943,0.1070110817796795
13,2,51,69,0.95,0.856813864325413,1.0,18319.5,0.115
14,2,89,79,0.5835760460117744,0.7912486570917594,1.6,33128.519633523356,0.12635760460117745
15,2,34,48,0.7145507773598546,0.3998065643125376,2.0,23862.09376120362,0.17145507773598545
16,2,65,74,0.5903740944842674,0.6351712759863082,2.0,37338.73902048985,0.15903740944842676
17,2,55,62,0.4168759012421719,0.9604644028883998,2.0,31929.221647379123,0.1416875901242172
18,2,42,53,0.2869124971050952,0.806229153400306,1.0,15125.809129602898,0.04869124971050952
19,2,62,54,0.30927861915431004,0.936269362792454,0.8,12507.334909576015,0.03492786191543101
20,2,44,58,0.44499093889158714,0.6240042335800273,1.0,16277.715766328638,0.06449909388915871
21,2,49,56,0.4473709810338049,0.48852271502571315,2.0,28736.833503726415,0.1447370981033805
22,2,62,69,0.572320916973374,0.6730494860731053,2.0,34890.591403730235,0.1572320916973374
23,2,83,84,0.5991502561436002,0.7200974489065156,1.3,29355.743760873564,0.10391502561436003
0,3,78,77,0.7783467595455796,0.8885057784505782,1.0,20840.01898544971,0.09783467595455797
1,3,70,70,0.8606946949365235,0.6779515812833965,1.0,18772.5411406333,0.10606946949365235
2,3,61,81,0.865448852790402,0.9643326461480312,2.0,39533.91857543865,0.1865448852790402
3,3,38,51,0.7517579781658225,0.799332559103963,2.0,25239.620586812583,0.17517579781658227
4,3,81,78,0.36094288307257244,0.7737801409309291,1.0,22087.39365361018,0.05609428830725724
5,3,41,54,0.4201339581693458,0.7527491038934242,1.3,19248.557884095357,0.0860133958169346
6,3,42,42,0.3581864697339058,0.887008994803414,2.0,21777.370096270555,0.13581864697339058
7,3,60,62,0.31450407000855474,0.8785282034172781,1.6,26800.355887654543,0.09945040700085547
8,3,50,67,0.3727060932798443,0.7410121883021495,0.8,15416.36860200601,0.04127060932798443
9,3,49,53,0.35296835410207317,0.6939346528678196,1.0,15020.780316977703,0.055296835410207315
10,3,65,78,0.3848851450147387,0.8989489758975291,0.8,17924.61500853241,0.042488514501473874
11,3,100,89,0.6552045634291248,0.833787653576805,0.8,19875.043052515393,0.06952045634291248
12,3,52,59,0.774132085774606,0.621769374832533,1.3,20216.28207063263,0.1214132085774606
13,3,74,76,0.8283028597060048,0.5033491208197363,2.0,37262.93895974062,0.1828302859706005
14,3,68,63,0.8189553767346472,0.495167276873611,0.8,13821.259470377214,0.08589553767346474
15,3,57,63,0.6725209657667056,0.6134993512973479,1.6,26149.976599521484,0.1352520965766706
16,3,45,62,0.42004942230465453,0.5765933745490126,1.6,26486.25291922135,0.11000494223046546
17,3,43,43,0.38700141070172284,0.5491327054825144,1.0,12142.768180194777,0.05870014107017228
18,3,64,56,0.25106359328566796,0.7878868382791099,1.0,16042.213163280077,0.0451063593285668
19,3,42,50,0.2949605695425467,0.69716319922378,1.6,21660.094633097888,0.09749605695425467
20,3,36,41,0.24855212728096676,0.9267387575066734,1.0,11748.280883444411,0.04485521272809668
21,3,72,70,0.46442406977443473,0.5913718738269893,1.6,29754.735125557898,0.11444240697744348
22,3,75,81,0.5569947842654842,0.5380438342916111,1.3,28440.493476505333,0.09969947842654843
23,3,92,86,0.5984474456462471,0.5727571642802668,0.8,19322.244472186147,0.06384474456462472
0,4,73,73,0.6328027862217165,0.8082973609113195,1.0,20076.16189817444,0.08328027862217166
1,4,55,76,0.6436949313032659,0.9296292282927996,2.0,38104.75111325711,0.16436949313032662
2,4,72,66,0.9071337651452192,0.6234694552364607,1.3,22272.47768851621,0.13471337651452192
3,4,43,60,0.7904903376074344,0.5263821524450685,1.0,16217.117392306616,0.09904903376074345
4,4,47,53,0.5663341278432825,0.9590258703230762,0.8,11948.742989383347,0.06063341278432826
5,4,51,46,0.34978542070120616,0.7885490924840224,2.0,23874.592238864672,0.1349785420701206
6,4,80,69,0.4138012170710407,0.8765139461634353,1.6,29497.330369060714,0.10938012170710407
7,4,49,61,0.3127023338119705,0.6127872498146609,2.0,31795.509458248187,0.13127023338119706
